"input_name","market_hash_name","type"
"亲笔签名胶囊 | Fnatic | 2017年亚特兰大锦标赛","Autograph Capsule | Fnatic | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | Fnatic | 2016年科隆锦标赛","Autograph Capsule | Fnatic | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Fnatic | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Fnatic | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | Fnatic | 2015年科隆锦标赛","Autograph Capsule | Fnatic | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Fnatic | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Fnatic | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Flipsid3 Tactics | 2017年亚特兰大锦标赛","Autograph Capsule | Flipsid3 Tactics | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | Flipsid3 Tactics | 2016年科隆锦标赛","Autograph Capsule | Flipsid3 Tactics | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Flipsid3 Tactics | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | Flipsid3 Tactics | 2015年科隆锦标赛","Autograph Capsule | Flipsid3 Tactics | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | FaZe Clan | 2017年亚特兰大锦标赛","Autograph Capsule | FaZe Clan | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | FaZe Clan | 2016年科隆锦标赛","Autograph Capsule | FaZe Clan | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | FaZe Clan | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | FaZe Clan | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | D 组（闪亮）| 2015年科隆锦标赛","Autograph Capsule | Group D (Foil) | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Counter Logic Gaming | 2016年科隆锦标赛","Autograph Capsule | Counter Logic Gaming | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Counter Logic Gaming | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | Counter Logic Gaming | 2015年科隆锦标赛","Autograph Capsule | Counter Logic Gaming | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Cloud9 | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Cloud9 | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | Cloud9 G2A | 2015年科隆锦标赛","Autograph Capsule | Cloud9 G2A | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Challengers（闪亮）| 2016年科隆锦标赛","Autograph Capsule | Challengers (Foil) | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Challengers（闪亮）| 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Challengers (Foil) | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | C 组（闪亮）| 2015年科隆锦标赛","Autograph Capsule | Group C (Foil) | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | B 组（闪亮）| 2015年科隆锦标赛","Autograph Capsule | Group B (Foil) | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Astralis | 2017年亚特兰大锦标赛","Autograph Capsule | Astralis | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | Astralis | 2016年科隆锦标赛","Autograph Capsule | Astralis | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Astralis | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Astralis | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | A 组（闪亮）| 2015年科隆锦标赛","Autograph Capsule | Group A (Foil) | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | 传奇（闪亮）| 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Legends (Foil) | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Virtus.Pro | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Virtus.Pro | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Vexed Gaming | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Titan | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Titan | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Team SoloMid | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Team SoloMid | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Team Liquid | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Team Liquid | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Team EnVyUs | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Team Dignitas | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Team Dignitas | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Ninjas in Pyjamas | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Ninjas in Pyjamas | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Natus Vincere | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Natus Vincere | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | mousesports | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | mousesports | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Luminosity Gaming | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Luminosity Gaming | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | G2 Esports | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | G2 Esports | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Flipsid3 Tactics | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Counter Logic Gaming | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | Cloud9 | 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Cloud9 | Cluj-Napoca 2015","普通级 武器箱"
"亲笔签名胶囊 | 挑战组（闪亮）| 2015年克卢日-纳波卡锦标赛","Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015","普通级 武器箱"
"《半衰期：爱莉克斯》收藏胸章胶囊","Half-Life: Alyx Collectible Pins Capsule","普通级 武器箱"
"《半衰期：爱莉克斯》布章包","Half-Life: Alyx Patch Pack","普通级 武器箱"
"《半衰期：爱莉克斯》印花胶囊","Half-Life: Alyx Sticker Capsule","普通级 武器箱"
"“裂网大行动”武器箱","Shattered Web Case","普通级 武器箱"
"“英勇大行动”武器箱","Operation Bravo Case","普通级 武器箱"
"“突围大行动”武器箱","Operation Breakout Weapon Case","普通级 武器箱"
"“狂牙大行动”武器箱","Operation Broken Fang Case","普通级 武器箱"
"“激流大行动”武器箱","Operation Riptide Case","普通级 武器箱"
"“头号特训”武器箱","Danger Zone Case","普通级 武器箱"
"“凤凰大行动”武器箱","Operation Phoenix Weapon Case","普通级 武器箱"
"“先锋大行动”武器箱","Operation Vanguard Weapon Case","普通级 武器箱"
"“九头蛇大行动”武器箱","Operation Hydra Case","普通级 武器箱"
"StatTrak™暴雨音乐盒集","StatTrak™ Deluge Music Kit Box","普通级 武器箱"
"StatTrak™ 激进音乐集","StatTrak™ Radicals Box","普通级 武器箱"
"StatTrak™ 战术大师音乐盒集","StatTrak™ Tacticians Music Kit Box","普通级 武器箱"
"StatTrak™ 引爆器音乐盒集","StatTrak™ Initiators Music Kit Box","普通级 武器箱"
"StatTrak™ 夜间模式音乐盒集","StatTrak™ NIGHTMODE Music Kit Box","普通级 武器箱"
"StatTrak™ 决策大师音乐盒集","StatTrak™ Masterminds Music Kit Box","普通级 武器箱"
"StatTrak™ 决策大师2号音乐盒集","StatTrak™ Masterminds 2 Music Kit Box","普通级 武器箱"
"Slid3 胶囊","Slid3 Capsule","普通级 武器箱"
"Sealed Genesis Terminal","Sealed Genesis Terminal","普通级 武器箱"
"P250 | X 射线 包裹","X-Ray P250 Package","普通级 武器箱"
"Enfu 印花胶囊","Enfu Sticker Capsule","普通级 武器箱"
"CS:GO 10周年印花胶囊","10 Year Birthday Sticker Capsule","普通级 武器箱"
"2025年奥斯汀锦标赛阿努比斯高光纪念包","Austin 2025 Anubis Souvenir Highlight Package","高光时刻 普通级 武器箱"
"2025年奥斯汀锦标赛阿努比斯纪念包","Austin 2025 Anubis Souvenir Package","普通级 武器箱"
"2025年奥斯汀锦标赛远古遗迹纪念包","Austin 2025 Ancient Souvenir Package","普通级 武器箱"
"2025年奥斯汀锦标赛荒漠迷城高光纪念包","Austin 2025 Mirage Souvenir Highlight Package","高光时刻 普通级 武器箱"
"2025年奥斯汀锦标赛荒漠迷城纪念包","Austin 2025 Mirage Souvenir Package","普通级 武器箱"
"2025年奥斯汀锦标赛竞争组印花胶囊","Austin 2025 Contenders Sticker Capsule","普通级 武器箱"
"2025年奥斯汀锦标赛竞争组亲笔签名胶囊","Austin 2025 Contenders Autograph Capsule","普通级 武器箱"
